region,source,image,l_mean,l_median,l_mode,l_max,l_min,l_skew,l_kurt,a_mean,a_median,a_mode,a_max,a_min,a_skew,a_kurt,b_mean,b_median,b_mode,b_max,b_min,b_skew,b_kurt
US,CNN,img_91.jpg,104.1243896484375,97.0,187,225,0,0.07562657495907125,-1.3196336277908816,127.12060546875,127.0,128,137,121,-0.060980152450868734,-0.27781465338837164,124.25787353515625,123.0,118,145,108,0.4489006385561867,-0.6649656869878555
US,CNN,img_85.jpg,87.92498779296875,71.0,2,255,0,0.8170438444071413,-0.3647253874326539,129.62335205078125,129.0,128,146,110,0.0672664705604258,3.097374753262187,132.1436767578125,131.0,130,159,114,0.6480254818967599,1.4009515247786046
US,CNN,img_52.jpg,148.285400390625,161.0,177,255,0,-0.35256690153419934,-0.601792178985777,127.998779296875,128.0,129,136,117,-1.8371496256861142,5.220227365940181,133.3388671875,134.0,134,157,117,-0.049667055648469634,1.9008829040080402
US,CNN,img_46.jpg,75.09124755859375,72.0,1,224,0,0.4284772655982932,-0.35703490346961075,128.38818359375,128.0,128,163,104,1.0688617577898758,2.7666015413189253,125.43768310546875,130.0,131,161,61,-1.041395460915987,1.5562267631315372
US,CNN,img_47.jpg,165.49273681640625,179.0,220,248,1,-0.6448608533486503,-0.641817519227597,136.30059814453125,129.0,129,202,108,2.274070831827471,4.037342510391408,134.60980224609375,126.0,124,210,60,0.30829889177719066,1.3568198047768618
US,CNN,img_53.jpg,85.20562744140625,88.0,82,227,0,-0.08129103302223185,-0.5838053380811208,132.11688232421875,132.0,130,148,117,-0.1794046989960019,-0.5850522357086492,119.2926025390625,126.0,92,161,79,-0.1677366853859663,-1.5653590527265848
US,CNN,img_84.jpg,112.8541259765625,109.0,95,241,0,0.03947831107917262,-0.8383178250776657,129.29046630859375,130.0,130,151,116,0.15942298677628744,3.6863284423437666,134.20306396484375,135.0,135,157,105,-0.6592303409964023,-0.014666895221788323
US,CNN,img_90.jpg,77.27215576171875,74.0,77,246,0,0.7433579700718528,0.7931238322867697,128.808349609375,128.0,128,153,115,1.5972217279505179,7.577190181731629,125.58154296875,125.0,121,149,102,0.5741790837449695,0.8503598184045793
US,CNN,img_86.jpg,136.2955322265625,126.0,243,255,0,0.09613998716022448,-1.35114557001219,129.32867431640625,128.0,128,168,109,1.8012484800159188,7.71034848654501,130.73956298828125,129.0,126,165,87,-0.004580070235676558,0.3167367588748147
US,CNN,img_92.jpg,128.123291015625,128.0,124,251,1,0.09517199509661962,-0.5561640816104343,127.8770751953125,128.0,128,138,121,1.3275355186807463,7.919044563586935,128.34326171875,129.0,129,149,99,-1.1004018398227575,2.4998873919399545
US,CNN,img_45.jpg,137.963623046875,165.0,9,255,0,-0.3539971895812722,-1.446362775693898,136.4278564453125,130.0,128,206,106,2.558125481849277,6.78828689627268,135.7113037109375,128.0,126,218,77,0.7257812636826391,1.1600432737671849
US,CNN,img_51.jpg,79.05108642578125,61.0,1,249,0,0.4350249350948194,-1.2248305175980607,129.5677490234375,129.0,128,150,113,0.29353230354974263,1.5586901376937208,133.17205810546875,129.0,128,197,96,1.9649850349416071,4.148150485047583
US,CNN,img_79.jpg,127.6666259765625,126.0,135,250,0,0.38163631806178455,0.8502963973667228,127.811279296875,128.0,128,140,116,-0.34143177098238026,4.022565783932737,124.85333251953125,126.0,129,143,111,-0.4074311862791882,-0.6428488158359893
US,CNN,img_78.jpg,102.78106689453125,90.0,190,212,0,0.06734622685208806,-1.4829705569617697,131.20697021484375,131.0,130,152,121,0.7122406786184214,1.9905082251240156,136.27032470703125,134.0,132,164,126,1.2316476700079244,1.0393620330755162
US,CNN,img_50.jpg,59.786376953125,55.0,1,235,0,0.5914541510067571,-0.5081782466598499,129.74090576171875,129.0,128,168,108,1.0790063116568716,4.807305342403659,127.454345703125,128.0,128,184,79,0.8302344166904201,5.396846540270104
US,CNN,img_44.jpg,102.83648681640625,100.0,66,247,0,0.22147112396590482,-0.5296131150057266,129.03094482421875,129.0,129,144,122,0.5483466586739578,1.7932875690147343,130.61163330078125,134.0,140,156,100,-0.8731774583481458,-0.09601558575736346
US,CNN,img_93.jpg,90.18658447265625,90.0,6,255,0,0.19879510311896467,-1.1106345157782294,130.29498291015625,130.0,128,165,121,1.4615996381388487,8.297630777611143,130.5882568359375,131.0,126,151,102,-0.1272416906442449,-0.40489156203249665
US,CNN,img_87.jpg,100.9090576171875,90.0,2,248,0,0.38410436854754104,-1.3131206570406158,134.2275390625,130.0,128,161,121,1.0959383037390413,0.1423322322454852,136.44866943359375,130.0,128,185,90,0.9870462633495007,0.9261437826424266
US,CNN,img_83.jpg,85.60089111328125,84.0,5,251,0,0.29027556589931913,-1.0400739716307712,132.13995361328125,130.0,128,164,95,1.3160504933692534,2.559131354926559,130.60546875,128.0,126,181,73,1.889535022100528,5.955085864811037
US,CNN,img_97.jpg,118.72760009765625,100.0,255,255,0,0.46738264846564087,-1.01265043575392,128.965576171875,129.0,128,155,111,2.49014206209179,26.825252441709534,130.0849609375,129.0,128,171,92,0.713847856853019,8.121724166071775
US,CNN,img_68.jpg,123.9149169921875,134.0,2,255,0,-0.1646091227947647,-0.8168862975085438,132.40802001953125,132.0,132,152,117,0.9606535094300428,1.5417293858583143,132.5218505859375,131.0,130,152,120,1.2504960595014267,1.79109042604742
US,CNN,img_40.jpg,87.20367431640625,86.0,82,236,0,0.27199644257516203,-0.3240492876545331,126.3853759765625,128.0,128,143,94,-2.3250824869056164,8.563407918608608,131.00360107421875,131.0,131,146,104,-0.16899010968701897,5.416048777007923
US,CNN,img_54.jpg,182.70928955078125,202.0,254,255,2,-1.151276222176093,0.5138694661712937,128.5118408203125,128.0,128,172,97,1.4509135526901455,5.334670736640948,125.97528076171875,125.0,127,213,74,1.2423528075856116,1.9736604760954517
US,CNN,img_55.jpg,130.80767822265625,137.0,204,255,1,-0.18282393870798958,-1.1953833153023228,133.66058349609375,134.0,126,184,121,1.6948761371169638,6.373649997208437,142.428466796875,142.0,143,175,87,-0.26278124460128893,0.3006834087629784
US,CNN,img_41.jpg,101.02410888671875,94.0,82,247,0,0.45289226351470974,-0.40835859094878835,129.1260986328125,129.0,129,134,125,-0.03304611573019895,-0.2411237304978191,130.873779296875,131.0,131,138,122,-0.3873125075664263,0.7084729535594159
US,CNN,img_69.jpg,86.90081787109375,77.0,2,242,0,0.32669088269098306,-1.1717703080927107,130.992919921875,129.0,128,171,115,1.8189176096831476,5.096604659066237,130.7493896484375,129.0,128,185,102,1.7202500527585893,5.046340061278778
US,CNN,img_96.jpg,79.4290771484375,62.0,5,226,0,0.32668803969405796,-1.493082422656221,127.5306396484375,128.0,128,140,115,0.4860412706244664,3.440010676409317,121.7919921875,126.0,126,156,97,-0.4116189733771958,-0.45728038594443765
US,CNN,img_82.jpg,76.5091552734375,71.0,1,252,0,0.5517993401242052,-0.795792644852602,135.26953125,134.0,130,177,99,0.4416464964551503,1.5012675386183165,125.8157958984375,126.0,126,195,62,-0.19804442800534366,1.7644503890418708
US,CNN,img_94.jpg,140.505615234375,168.0,198,255,0,-0.5889994250323638,-1.0019390524501108,128.6312255859375,128.0,128,143,106,0.052257682723746424,6.4467246357331565,125.15740966796875,127.0,135,158,99,-0.305139399520436,-0.6307795758407533
US,CNN,img_80.jpg,67.0606689453125,61.0,2,246,0,0.7475541637814885,0.15267756958693646,129.8431396484375,130.0,128,153,105,-0.15314013315162944,3.6464344501333548,131.6131591796875,130.0,126,171,98,0.8834122935575989,1.7645357430723152
US,CNN,img_57.jpg,234.58447265625,241.0,243,255,77,-1.9245197166117591,4.941079115276346,128.86492919921875,128.0,128,166,123,5.919446732038836,34.862349942732195,128.3751220703125,128.0,128,147,124,5.89993904875169,35.212304514529826
US,CNN,img_43.jpg,127.294677734375,150.0,202,241,0,-0.5706218571126527,-1.0718101107337155,130.283203125,128.0,128,184,98,2.040394421527734,9.139538033110407,122.54425048828125,129.0,129,190,67,-0.5753455477408679,0.5403082774807961
US,CNN,img_42.jpg,114.06591796875,122.0,169,184,1,-0.3763793082845284,-1.2525600922086675,132.4056396484375,132.0,131,148,119,0.5484965853824152,0.3396990000906337,96.58343505859375,102.0,76,132,70,-0.2255427250289332,-1.5981055816534107
US,CNN,img_56.jpg,127.21197509765625,130.0,130,254,0,-0.010726658815698578,1.4306295857417366,126.7593994140625,124.0,123,192,118,4.159191671779772,19.470300097512975,128.5384521484375,126.0,126,175,115,3.30559881520858,13.574288581913674
US,CNN,img_81.jpg,119.28857421875,112.0,54,246,1,-0.058938217608451075,-1.5642156000303553,138.42767333984375,132.0,129,193,104,1.4475514463517745,1.743823477121226,131.2850341796875,132.0,130,186,69,-0.22460735387654113,-0.06743677185454677
US,CNN,img_95.jpg,122.42242431640625,130.0,149,252,0,-0.4213745392719837,-0.2825070854173939,131.3927001953125,133.0,134,144,113,-0.806606136907468,0.3972006701327868,137.35772705078125,140.0,143,151,114,-0.7212929161500753,-0.3236943329147359
US,CNN,img_31.jpg,51.33740234375,36.0,2,224,0,1.097889437500139,0.14857407308198534,129.09197998046875,128.0,128,158,118,1.3452386308808386,2.063955073223375,133.09124755859375,134.0,130,158,88,-1.180030361175158,1.7882624671229923
US,CNN,img_25.jpg,94.4835205078125,99.0,9,241,0,-0.2580715440376402,-0.8767604311820105,128.01434326171875,128.0,128,142,118,0.017390319327899535,0.1494968401728194,131.26654052734375,135.0,140,163,91,-1.162586962209043,0.7736446218793742
US,CNN,img_19.jpg,68.1363525390625,78.0,77,190,0,-0.2216181428768986,-0.34914839514781804,129.8739013671875,130.0,130,147,119,1.3894028095666426,4.6323176351690405,125.1119384765625,125.0,119,163,116,1.340830087814201,4.085524989452715
US,CNN,img_8.jpg,131.89373779296875,151.0,12,244,0,-0.2798880730755796,-1.4750854470036394,133.55029296875,132.0,130,156,124,1.1693480871932742,1.0206587001299532,142.35272216796875,138.0,136,204,104,0.944184012515146,0.6128758601638786
US,CNN,img_9.jpg,132.92181396484375,139.0,177,252,0,-0.17717909013492364,-0.8039594680603859,129.67681884765625,129.0,129,148,119,0.46499137953130165,0.8343296319792901,131.30718994140625,132.0,132,154,109,-1.0185619312542098,1.0881315964466678
US,CNN,img_18.jpg,90.75506591796875,95.0,117,237,0,-0.218098811706932,-0.7666448578691258,132.34539794921875,131.0,130,179,112,2.84791470274896,12.88022757495367,125.4544677734375,125.0,121,184,76,0.19696277427939932,2.891765045870156
US,CNN,img_24.jpg,29.69732666015625,11.0,1,246,0,2.3199823582671195,5.67573931365132,131.2017822265625,130.0,128,166,121,2.1827729096548247,5.156417431131118,124.33209228515625,126.0,126,183,93,0.8993256618355926,2.969613190845817
US,CNN,img_30.jpg,59.36798095703125,24.0,2,255,0,1.1773901082808027,0.29990999788749084,131.579833984375,130.0,128,206,121,5.34233629107563,40.73110423496996,130.18505859375,128.0,126,189,108,1.902207291863587,8.996713323846878
US,CNN,img_26.jpg,150.9285888671875,160.0,170,255,0,-0.675286008323461,-0.1611706960791084,138.09222412109375,136.0,135,197,113,2.207655539306528,8.855644306752234,154.2415771484375,153.0,155,198,77,-0.13320849514436572,0.7499431415303754
US,CNN,img_32.jpg,240.618896484375,253.0,255,255,73,-2.0713303538275,6.721822190115828,127.00341796875,128.0,128,141,119,-0.6627123795123108,2.2563720773592344,127.54718017578125,128.0,128,133,123,-0.7914531887431717,2.0104883440996018
US,CNN,img_33.jpg,116.37127685546875,113.0,114,245,2,0.5692547312347729,1.494068532016863,121.8809814453125,121.0,120,155,113,2.04768898579296,5.934998742934566,124.55291748046875,119.0,119,156,110,0.9828063014770677,-0.5966243170690677
